770.4777,650.0974,340.0558,210.4465,190.8782,840.1614,520.0837,630.6531,960.3815
150.8175,580.2310,510.6054,260.8161,120.7792,580.1279,760.4152,830.8501,630.6898
860.4470,780.3903,930.0408,990.9323,960.3216,680.0921,470.9637,870.9877,680.2045
840.1310,980.0089,420.3945,480.5160,450.2552,720.3553,450.8143,600.7744,760.8638
780.7833,650.6217,170.5413,370.2103,980.2272,00.6025,830.5910,260.5716,180.9977
770.7329,620.9416,460.9741,800.9056,660.3150,300.9872,710.3128,170.6164,860.4120
00.1046,870.6632,710.3632,500.5652,120.9797,930.0332,400.7582,340.5525,450.7331
810.6959,710.3947,520.4844,720.9216,430.8561,420.9114,380.7705,200.0231,250.9894
10.6389,990.0953,400.7637,310.5928,520.7488,930.4140,220.4422,590.5842,120.5576
940.2173,560.6618,40.7188,610.7683,910.6139,470.6331,440.4168,670.2923,260.1791
350.7474,990.5697,10.9853,50.0493,210.8084,960.4659,210.0958,870.9266,260.5084
50.6796,770.0881,750.3426,170.2901,70.8495,70.4898,320.9746,520.5343,210.4848
640.9957,910.4072,980.2820,870.9128,990.0808,310.6093,600.9981,330.3396,640.1376
80.7538,140.9089,200.5527,880.7233,140.7467,460.2819,420.2506,310.1032,730.7281
270.4359,760.6417,940.3795,930.2497,500.0476,250.8195,20.6588,560.5466,280.4277
650.4918,470.8632,610.1102,140.4956,600.2215,460.1283,270.5932,330.4186,440.8554
250.7398,700.0585,910.6060,130.3049,460.2702,560.4425,330.9215,230.4143,580.6598
470.4428,760.1412,440.3636,650.6130,840.6408,800.9222,280.8528,750.1152,170.9995
220.4113,650.1720,630.1949,420.1254,850.5352,450.2098,470.5506,690.7934,880.4552
550.6663,830.1049,900.1195,280.7637,410.6689,620.7261,110.3532,540.4474,570.0152
350.8815,740.9846,430.3716,730.9701,380.0069,740.0426,130.7705,320.6060,580.0464
950.8458,950.9836,510.7010,540.4307,640.3039,280.7003,950.3313,760.9047,590.4062
30.8358,460.4028,140.0507,770.2329,30.4245,90.4721,690.7606,180.3352,950.5628
620.2933,40.6510,170.6365,510.4711,440.4096,380.4548,580.9566,240.4231,400.0631
00.7618,660.0477,810.9639,250.5294,90.4197,270.8748,740.5067,640.2475,980.0847
150.3981,250.1210,60.4448,480.2324,370.0908,210.9280,190.7054,90.6828,660.2132
780.9320,730.6196,360.3566,920.2387,630.0022,530.1097,120.7813,570.1078,230.0667
550.3926,530.3161,450.3732,340.6376,230.6683,290.6793,760.2416,920.3167,100.1537
660.1760,80.6183,730.8153,790.7202,810.4195,290.5764,970.7194,560.9503,540.3802
410.8499,00.6697,880.6738,220.3497,330.2432,670.6028,790.0770,90.4485,710.2339
390.7679,520.9515,260.6637,760.6256,250.9283,470.9462,610.6286,340.1949,230.0104
