730.3696,850.7470,590.1890,140.3797,620.2086,20.2052,660.3125,230.3814,100.4170
420.6572,50.4425,240.8427,180.7876,470.9709,430.8146,880.5293,500.9084,470.7638
580.3458,500.8024,180.7490,450.3670,180.0905,870.3443,880.7098,960.4179,130.4629
300.2414,470.2372,460.7505,140.1294,880.4979,310.7612,780.9644,830.8663,560.9483
60.3638,330.5384,260.9792,750.0356,890.9862,210.9841,730.2032,640.8224,210.1285
570.5408,400.4410,350.9651,750.4192,960.3262,20.2598,420.8718,930.3567,760.6769
850.3345,230.2172,240.2330,330.0016,970.0705,980.3340,310.0410,950.4361,930.8016
830.6647,70.0154,510.2309,490.3073,570.6196,350.6245,930.7514,320.2890,250.3093
140.8929,850.0715,400.3902,100.2025,460.5456,440.0956,390.3517,190.8033,80.5258
680.5688,910.6626,740.3482,460.2658,550.9371,180.9433,850.4533,830.3637,40.2180
290.8872,780.9630,120.0399,660.4657,700.5883,740.9147,950.9813,70.9592,920.3256
90.0355,640.6042,310.9668,390.9214,870.0539,930.1186,650.9412,900.9214,320.3137
490.2520,910.1603,590.8589,300.9650,160.1676,10.0155,230.5969,940.1902,160.8286
600.0684,60.4048,600.2310,480.1227,230.6940,250.6275,570.7728,900.4534,450.0266
900.9822,270.0778,500.7380,60.4135,240.3934,350.9205,790.8989,290.7116,860.2624
240.8283,390.7326,640.0561,620.1545,870.4700,530.1808,160.5224,500.4469,540.6926
240.8714,740.0704,430.8895,480.6634,570.2532,780.1827,410.4443,600.4890,880.6061
930.8657,50.2097,260.8220,790.2239,510.8652,540.3341,450.0432,180.8019,410.1206
960.5760,300.0536,920.9937,410.4196,280.4938,620.3271,90.6346,330.8297,990.1095
240.2973,170.3338,390.3451,560.4337,350.4027,70.8800,260.8811,640.6324,640.4038
210.8877,130.9814,150.9712,550.9481,110.8056,310.8688,950.0463,120.4313,730.1635
620.6068,130.6989,960.0461,250.5047,580.0190,540.0604,390.3509,630.0940,800.3148
230.6252,250.5254,270.2598,890.4783,100.4792,500.1829,560.7628,510.5709,580.9260
730.4170,50.4307,780.8627,890.1455,990.1741,90.9734,760.5937,100.9978,790.7953
230.4182,110.4178,680.2489,510.7422,40.7915,460.5961,960.0064,630.8751,150.0791
520.4559,640.1503,410.3755,90.6369,620.9792,860.5428,290.3142,680.8580,280.7549
